,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Entsprechungen,,,,,,,,
Strecke in km,Dauer h:m:s,Dauer in h (dezimal),Geschwindigkeit km/h,10km,,"21,1km",,"42,2km",,1km,,
"21,1",01:02:47,"1,05","20,16","0,4959189047",0:29:45,"1,046388889",1:02:47,"2,092777778",2:05:34,"0,04959189047",0:02:59,"6.Platz Hella Halbmarathon 24 - Haftom Welday, (TH Eilbeck) (schnellster Deutscher und Hamburger)"
"21,1",01:02:07,"1,04","20,38","0,4906529753",0:29:26,"1,035277778",1:02:07,"2,070555556",2:04:14,"0,04906529753",0:02:57,1.Platz Hella Halbmarathon 24 - Towett Vincent Kimutai
"21,1",02:19:48,"2,33","9,06","1,104265403",1:06:15,"2,33",2:19:48,"4,66",4:39:36,"0,1104265403",0:06:38,"Daniel, Hella Halbmarathon 30.6.2024, Nr 7449 von 9779 Teilnehmern (m/w/d), Nr 4947 von 5913 Männern, Nr 592 von 682 Teilnehmern in Alterklasse 40 (männl.)"
"21,1",02:10:05,"2,17","9,73","1,027514481",1:01:39,"2,168055556",2:10:05,"4,336111111",4:20:10,"0,1027514481",0:06:10,"Daniel, Blankeneser Heldenlauf 27.8.2023 - Nr 144 von 211, AK: 20 von 22, M/W-Platz: 105"
,,,,,,,,,,,,
"7,5",00:39:50,"0,66","11,30","0,8851851852",0:53:07,"1,867740741",1:52:04,"3,735481481",3:44:08,"0,08851851852",0:05:19,"Daniel, SportScheck Alster Run 14.6.19"
,,,,,,,,,,,,
"5,6",00:17:37,"0,29","19,07","0,5243055556",0:31:28,"1,106284722",1:06:23,"2,212569444",2:12:45,"0,05243055556",0:03:09,"(Erster Platz: Pascal Dethlefs (Debeka), B2Run, 14.5.19)"
"5,6",00:26:33,"0,44","12,66","0,7901785714",0:47:25,"1,667276786",1:40:02,"3,334553571",3:20:04,"0,07901785714",0:04:44,"(Dirk Holtstiege, Bester im FUNKE Zeitschriften Team)"
"5,6",00:27:53,"0,46","12,05","0,8298611111",0:49:48,"1,751006944",1:45:04,"3,502013889",3:30:07,"0,08298611111",0:04:59,"(Daniel, B2Run, Funke-Team, 14.5.19)"
,,,,,,,,,,,,
"21,1",02:04:36,"2,08","10,16","0,9842022117",0:59:03,"2,076666667",2:04:36,"4,153333333",4:09:12,"0,09842022117",0:05:54,"(Daniel, Blankeneser Heldenlauf 26.8.2018)"
